TS,HA,Error,
109.0,4.0,-0.14710204381913883,
109.0,3.0,-0.14710204381913883,
109.0,2.0,-0.14710204381913883,
109.0,1.0,-0.14710204381913883,
109.0,0.0,-0.14710204381913883,
110.0,10.0,1.5226718140535667,
110.0,9.0,-1.7412180745617931,
110.0,8.0,-0.1493416160178711,
110.0,7.0,-0.1493416160178711,
110.0,6.0,-0.1493416160178711,
110.0,5.0,-0.1493416160178711,
110.0,4.0,-0.1493416160178711,
110.0,3.0,-0.1493416160178711,
110.0,2.0,-0.1493416160178711,
110.0,1.0,-0.1493416160178711,
110.0,0.0,-0.1493416160178711,
111.0,10.0,1.2713777548968679,
111.0,9.0,-0.025430814530629675,
111.0,8.0,-0.025430814530633228,
111.0,7.0,-0.025430814530629675,
111.0,6.0,-0.025430814530629675,
111.0,5.0,-0.025430814530629675,
111.0,4.0,-0.025430814530629675,
111.0,3.0,-0.025430814530629675,
111.0,2.0,-0.025430814530629675,
111.0,1.0,-0.025430814530629675,
111.0,0.0,-0.025430814530629675,
112.0,10.0,0.1350415992060192,
112.0,9.0,1.9745691854693703,
112.0,8.0,-0.009604980536479957,
112.0,7.0,-0.009604980536479957,
112.0,6.0,0.7665998565964749,
112.0,5.0,-0.020535213094579063,
112.0,4.0,-0.020535213094579063,
112.0,3.0,-0.020535213094579063,
112.0,2.0,-0.020535213094579063,
112.0,1.0,-0.020535213094579063,
112.0,0.0,-0.020535213094579063,
113.0,10.0,2.1562849448100607,
113.0,9.0,-1.0949004775996656,
113.0,8.0,-0.07257109106123494,
113.0,7.0,-0.07257109106123494,
113.0,6.0,-0.07257109106123494,
113.0,5.0,-0.07257109106123494,
113.0,4.0,-0.07257109106123494,
113.0,3.0,-0.07257109106123494,
113.0,2.0,-0.07257109106123494,
113.0,1.0,-0.07257109106123494,
113.0,0.0,-0.07257109106123494,
114.0,10.0,-0.30088096121173535,
114.0,9.0,-0.3641267426345145,
114.0,8.0,-0.25246109594933586,
114.0,7.0,-0.25246109594933586,
114.0,6.0,-0.25246109594933586,
114.0,5.0,-0.25246109594933586,
114.0,4.0,-0.25246109594933586,
114.0,3.0,-0.25246109594933586,
114.0,2.0,-0.25246109594933586,
114.0,1.0,-0.25246109594933586,
114.0,0.0,-0.25246109594933586,
115.0,10.0,0.6058942644565128,
115.0,9.0,0.016771881118959442,
115.0,8.0,1.2614867486050052,
115.0,7.0,-0.09043081453063095,
115.0,6.0,-0.09043081453063095,
115.0,5.0,-0.09043081453063095,
115.0,4.0,-0.09043081453063095,
115.0,3.0,-0.09043081453063095,
115.0,2.0,-0.09043081453063095,
115.0,1.0,-0.09043081453063095,
115.0,0.0,-0.09043081453063095,
116.0,10.0,-0.13992998859757577,
116.0,9.0,-0.11941142045131414,
116.0,8.0,-0.0774610959493387,
116.0,7.0,-0.0774610959493387,
116.0,6.0,-0.0774610959493387,
116.0,5.0,-0.0774610959493387,
116.0,4.0,-0.0774610959493387,
116.0,3.0,-0.0774610959493387,
116.0,2.0,-0.0774610959493387,
116.0,1.0,-0.0774610959493387,
116.0,0.0,-0.0774610959493387,
117.0,10.0,-3.33321815734422E-4,
117.0,9.0,-0.1864529278872702,
117.0,8.0,-0.10702585301931933,
117.0,7.0,-0.10702585301931933,
117.0,6.0,-0.10702585301931933,
117.0,5.0,-0.10702585301931933,
117.0,4.0,-0.10702585301931933,
117.0,3.0,-0.10702585301931933,
117.0,2.0,-0.10702585301931933,
117.0,1.0,-0.10702585301931933,
117.0,0.0,-0.10702585301931933,
